Результат расчета с распределением uniform
X:-142.323 Y:-153.106 Z:-184.834  
X:-174.596 Y:-196.875 Z:-200.612  
X:-218.006 Y:-236.305 Z:-261.823  
X:-293.143 Y:-305.705 Z:-734.601  
X:233.991 Y:179.712 Z:160.704  
X:207.399 Y:294.927 Z:274.674  
X:223.949 Y:189.935 Z:197.006  
X:211.369 Y:186.446 Z:158.804  
X:138.351 Y:129.679 Z:102.105  
X:73.454 Y:47.703 Z:23.366  
X:0.000 Y:-17.713 Z:-43.248  
X:-74.943 Y:-100.185 Z:-123.058  
X:-149.670 Y:-157.820 Z:-192.706  
X:-201.420 Y:-220.772 Z:-226.075  
X:-253.843 Y:-270.341 Z:-278.630  
X:-297.456 Y:-313.111 Z:-373.703  
X:-686.227 Y:216.286 Z:222.787  
X:180.973 Y:226.959 Z:250.838  
X:261.487 Y:149.148 Z:143.070  
X:172.266 Y:203.102 Z:182.435  
X:153.610 Y:142.701 Z:124.176  
X:98.730 Y:72.095 Z:49.104  
X:24.552 Y:0.000 Z:-21.262  
X:-50.904 Y:-80.185 Z:-101.372  
X:-130.301 Y:-179.385 Z:-206.981  
X:-243.718 Y:-241.054 Z:-270.896  
X:-299.824 Y:-335.779 Z:-330.761  
X:-370.998 Y:-367.847 Z:-407.524  
X:-461.639 Y:-776.000 Z:373.520  
X:224.492 Y:219.465 Z:234.881  
X:221.166 Y:221.524 Z:149.834  
X:159.184 Y:180.445 Z:182.893  
X:181.221 Y:166.798 Z:143.538  
X:120.290 Y:95.295 Z:74.676  
X:46.979 Y:24.754 Z:0.000  
X:-28.703 Y:-55.937 Z:-87.892  
X:-117.235 Y:-149.139 Z:-177.613  
X:-213.016 Y:-230.784 Z:-254.325  
X:-291.614 Y:-309.218 Z:-337.611  
X:-365.497 Y:-360.216 Z:-405.015  
X:-420.610 Y:-445.912 Z:-697.455  
X:288.103 Y:223.924 Z:261.925  
X:249.202 Y:173.971 Z:155.498  
X:141.922 Y:114.524 Z:128.734  
X:146.566 Y:142.682 Z:134.837  
X:133.021 Y:118.573 Z:105.652  
